bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;issueId;note
c130da2c0173bbae3abef362692795543194d884;2013-10-24T02:28:24+0300;core/src/main/java/org/apache/oozie/coord/CoordELFunctions.java;;;OOZIE-1573;
c130da2c0173bbae3abef362692795543194d884;2013-10-24T02:28:24+0300;core/src/test/java/org/apache/oozie/coord/TestCoordELFunctions.java;;;OOZIE-1573;
c130da2c0173bbae3abef362692795543194d884;2013-10-24T02:28:24+0300;release-log.txt;;;OOZIE-1573;Ignored file type
53c01f23f6ae30b3afb74be56cf23137417be147;2013-10-22T22:54:05+0300;docs/src/site/twiki/index.twiki;;;OOZIE-1592;Ignored file type
53c01f23f6ae30b3afb74be56cf23137417be147;2013-10-22T22:54:05+0300;release-log.txt;;;OOZIE-1592;Ignored file type
548bdb770cc05f78337a9e184a59919d35bc7b32;2013-10-19T01:40:56+0300;core/src/main/java/org/apache/oozie/command/coord/CoordSubmitXCommand.java;;;OOZIE-1578;
548bdb770cc05f78337a9e184a59919d35bc7b32;2013-10-19T01:40:56+0300;core/src/test/java/org/apache/oozie/command/coord/TestCoordSubmitXCommand.java;;;OOZIE-1578;No changed lines, only additions
a64e7f5c3b168dd19d485d4f767bb3948a7920a8;2013-10-18T21:06:49+0300;distro/pom.xml;;;OOZIE-1582;Ignored file type
a64e7f5c3b168dd19d485d4f767bb3948a7920a8;2013-10-18T21:06:49+0300;pom.xml;;;OOZIE-1582;Ignored file type
a64e7f5c3b168dd19d485d4f767bb3948a7920a8;2013-10-18T21:06:49+0300;release-log.txt;;;OOZIE-1582;Ignored file type
b6dcb6a0f193a9e9193be12479e468d11fc8f3db;2013-10-18T19:49:44+0300;core/src/main/java/org/apache/oozie/command/coord/CoordSubmitXCommand.java;;;OOZIE-1577;
b6dcb6a0f193a9e9193be12479e468d11fc8f3db;2013-10-18T19:49:44+0300;core/src/test/java/org/apache/oozie/command/coord/TestCoordSubmitXCommand.java;;;OOZIE-1577;
b6dcb6a0f193a9e9193be12479e468d11fc8f3db;2013-10-18T19:49:44+0300;docs/src/site/twiki/CoordinatorFunctionalSpec.twiki;;;OOZIE-1577;Ignored file type
b6dcb6a0f193a9e9193be12479e468d11fc8f3db;2013-10-18T19:49:44+0300;release-log.txt;;;OOZIE-1577;Ignored file type
