bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;bugFixingCommitMessage;note
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/Hive2ActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/HiveActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/JavaActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/LauncherHelper.java;c09561ff263f38ff4ecdf81f71359ae2ae4c90d5;2017-07-04T12:30:11+0000;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/MapReduceActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/OozieJobInfo.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/PigActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/ShellActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/SparkActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/hadoop/SqoopActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
